timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1980188,T_16664595700,S_90487579,0.1.2,rpc,容错执行框架,MS_27283_POD_174,jxIjfJUaC-,智能工单路由,MS_27283_POD_174,6.0
2010781,T_11144464104,S_130831269,0,http,容错执行框架,USER,KFUG835JJw,去中心化协同,MS_19017_POD_9,0.0
2014111,T_12839755645,S_30267550,0.1.1.1.221,mc,智能工单路由,MS_69636_POD_220,bMBCxkeRSZ,工单特征编码,MS_44585_POD_97,1.0
2016139,T_6389165947,S_103874939,0,http,工单特征编码,USER,ScgJqfgLUx,路由策略学习,MS_32255_POD_33,2.0
2024487,T_22075308552,S_93481413,0.1.1.2.6.1.1.10,rpc,路由策略学习,MS_15934_POD_224223,tUzbPtS3YR,路径质量评估,UNKNOWN,2.0
2034079,T_20237104487,S_21852643,0,http,路径质量评估,USER,zxg4-jZhMd,动态路由表,MS_22997_POD_19,3.0
2071597,T_3563780135,S_158748102,0.1.1,mc,动态路由表,MS_61055_POD_459,7aJ_JD61MG,路由异常恢复,MS_2827_POD_187,0.0
2073715,T_23866380579,S_86516878,0.2,mc,路由异常恢复,MS_53154_POD_485,dqJpXkdLXQ,Null,MS_37691_POD_747,1.0
2094106,T_3716018380,S_20689495,0.1,http,去中心化协同,UNAVAILABLE,7TNK5jOByf,智能合约设计,MS_67915_POD_328,1.0
2095454,T_9829469864,S_80466277,0.1.1.2.1.147.12.1,mc,智能合约设计,MS_15549_POD_827,ScFx7XudDg,共识机制配置,MS_55085_POD_274,0.0
2111907,T_8500676944,S_81030469,0.1.1,http,共识机制配置,UNAVAILABLE,XRHDWrn-jc,冲突消解协议,MS_745_POD_539,3.0
2132376,T_10066082175,S_5426918,0.1.2.1,mc,冲突消解协议,MS_52363_POD_97,OaMaDuq7D2,协同效能审计,MS_37691_POD_4189,1.0
2152705,T_3591911571,S_94913627,0.1,rpc,协同效能审计,MS_67515_POD_370,xwoaM4dd1n,分布式日志存证,MS_73390_POD_1426,45.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,分布式日志存证,MS_51052_POD_9,2BTwxH-65K,Null,MS_32139_POD_312,0.0
