timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
2010781,T_11144464104,S_130831269,0,http,备用运输计划生成,USER,KFUG835JJw,抗干扰路径规划,MS_19017_POD_9,0.0
2010781,T_11144464104,S_130831269,0,http,抗干扰路径规划,USER,KFUG835JJw,韧性网络拓扑建模,MS_19017_POD_9,0.0
2010781,T_11144464104,S_130831269,0,http,韧性网络拓扑建模,USER,KFUG835JJw,多模态交通图嵌入,MS_19017_POD_9,0.0
2010781,T_11144464104,S_130831269,0,http,多模态交通图嵌入,USER,KFUG835JJw,图注意力机制,MS_19017_POD_9,0.0
2016139,T_6389165947,S_103874939,0,http,图注意力机制,USER,ScgJqfgLUx,鲁棒性路径生成,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,鲁棒性路径生成,USER,ScgJqfgLUx,容灾路由协议,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,容灾路由协议,USER,ScgJqfgLUx,Null,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,弹性资源编排,USER,ScgJqfgLUx,动态容量预测,MS_32255_POD_33,2.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,动态容量预测,MS_51052_POD_9,2BTwxH-65K,量子启发式优化,MS_32139_POD_312,0.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,量子启发式优化,MS_51052_POD_9,2BTwxH-65K,超曲面搜索,MS_32139_POD_312,0.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,超曲面搜索,MS_51052_POD_9,2BTwxH-65K,资源拓扑重构,MS_32139_POD_312,0.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,资源拓扑重构,MS_51052_POD_9,2BTwxH-65K,异构资源池化,MS_32139_POD_312,0.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,异构资源池化,MS_51052_POD_9,2BTwxH-65K,Null,MS_32139_POD_312,0.0
