timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
2010781,T_11144464104,S_130831269,0,http,安全评估,USER,KFUG835JJw,数字孪生镜像构建,MS_19017_POD_9,0.0
2016139,T_6389165947,S_103874939,0,http,数字孪生镜像构建,USER,ScgJqfgLUx,多物理场仿真,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,多物理场仿真,USER,ScgJqfgLUx,故障传播路径预测,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,多物理场仿真,USER,ScgJqfgLUx,增强现实辅助,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,故障传播路径预测,USER,ScgJqfgLUx,脆弱性热力图生成,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,脆弱性热力图生成,USER,ScgJqfgLUx,虚拟应力测试,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,虚拟应力测试,USER,ScgJqfgLUx,多米诺效应阻断,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,多米诺效应阻断,USER,ScgJqfgLUx,现实-虚拟双向校准,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,现实-虚拟双向校准,USER,ScgJqfgLUx,自适应防护策略,MS_32255_POD_33,2.0
2016139,T_6389165947,S_103874939,0,http,增强现实辅助,USER,ScgJqfgLUx,操作轨迹建模,MS_32255_POD_33,2.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,操作轨迹建模,MS_51052_POD_9,2BTwxH-65K,碰撞概率计算,MS_32139_POD_312,0.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,碰撞概率计算,MS_51052_POD_9,2BTwxH-65K,安全边界动态调整,MS_32139_POD_312,0.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,自适应防护策略,MS_51052_POD_9,2BTwxH-65K,Null,MS_32139_POD_312,0.0
2152939,T_17667892605,S_157549312,0.1.1.2.1.131,mc,安全边界动态调整,MS_51052_POD_9,2BTwxH-65K,Null,MS_32139_POD_312,0.0
