timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1261683,T_21533591496,S_19481993,0,http,自适应监控体系,USER,UwF9Dmb4xA,联邦学习监控,MS_63670_POD_953,0.0
1261683,T_21533591496,S_19481993,0,http,自适应监控体系,USER,UwF9Dmb4xA,数字孪生优化,MS_63670_POD_953,0.0
1265270,T_20367122967,S_109895094,0.1.2.5,mc,联邦学习监控,MS_60860_POD_12,ehdXXVqfF7,模型参数加密,MS_795_POD_42,0.0
1358966,T_5147245861,S_74564758,0.18,db,模型参数加密,MS_50519_POD_26,1fJLoczENM:TDDL_DELETE,梯度安全聚合,MS_36126_POD_0,1.0
1358966,T_5147245861,S_74564758,0.18,db,梯度安全聚合,MS_50519_POD_26,1fJLoczENM:TDDL_DELETE,漂移检测,MS_36126_POD_0,1.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,漂移检测,MS_48385_POD_3563,2ctK0GifON,联邦模型更新,MS_46825_POD_174,0.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,联邦模型更新,MS_48385_POD_3563,2ctK0GifON,隐私保护验证,MS_46825_POD_174,0.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,隐私保护验证,MS_48385_POD_3563,2ctK0GifON,Null,MS_46825_POD_174,0.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,数字孪生优化,MS_48385_POD_3563,2ctK0GifON,孪生体同步,MS_46825_POD_174,0.0
1369276,T_12739052558,S_30021389,0.1.2.6.5,db,孪生体同步,MS_40770_POD_306,VCkaOe9C34:TDDL_QUERY,仿真沙箱构建,MS_21528_POD_25,1.0
1397596,T_14923310034,S_12011310,0.1.2.2.26,rpc,仿真沙箱构建,MS_71669_POD_1,TMqHpFi80U,参数敏感性分析,MS_45705_POD_28,2.0
1397596,T_14923310034,S_12011310,0.1.2.2.26,rpc,参数敏感性分析,MS_71669_POD_1,TMqHpFi80U,虚拟试运行,MS_45705_POD_28,2.0
1397596,T_14923310034,S_12011310,0.1.2.2.26,rpc,虚拟试运行,MS_71669_POD_1,TMqHpFi80U,策略迁移验证,MS_45705_POD_28,2.0
1431255,T_10331376223,S_74324433,0.1.2,rpc,策略迁移验证,MS_27283_POD_795,Dod_5P9rzN,Null,UNKNOWN,4.0
