timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1261683,T_21533591496,S_19481993,0,http,备用供应商选择,USER,UwF9Dmb4xA,动态需求感知,MS_63670_POD_953,0.0
1261683,T_21533591496,S_19481993,0,http,动态需求感知,USER,UwF9Dmb4xA,实时供应链数据融合,MS_63670_POD_953,0.0
1261683,T_21533591496,S_19481993,0,http,实时供应链数据融合,USER,UwF9Dmb4xA,流式计算引擎,MS_63670_POD_953,0.0
1261683,T_21533591496,S_19481993,0,http,流式计算引擎,USER,UwF9Dmb4xA,CEP复杂事件处理,MS_63670_POD_953,0.0
1358966,T_5147245861,S_74564758,0.18,db,CEP复杂事件处理,MS_50519_POD_26,1fJLoczENM:TDDL_DELETE,事件模式匹配,MS_36126_POD_0,1.0
1358966,T_5147245861,S_74564758,0.18,db,事件模式匹配,MS_50519_POD_26,1fJLoczENM:TDDL_DELETE,弹性规则引擎,MS_36126_POD_0,1.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,弹性规则引擎,MS_48385_POD_3563,2ctK0GifON,Null,MS_46825_POD_174,0.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,供应商韧性评估,MS_48385_POD_3563,2ctK0GifON,抗压能力测试,MS_46825_POD_174,0.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,抗压能力测试,MS_48385_POD_3563,2ctK0GifON,灾难恢复模拟,MS_46825_POD_174,0.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,灾难恢复模拟,MS_48385_POD_3563,2ctK0GifON,混沌工程注入,MS_46825_POD_174,0.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,混沌工程注入,MS_48385_POD_3563,2ctK0GifON,故障传播分析,MS_46825_POD_174,0.0
1360331,T_175402337,S_115042431,0.1.3.58,mc,故障传播分析,MS_48385_POD_3563,2ctK0GifON,韧性评分模型,MS_46825_POD_174,0.0
1431255,T_10331376223,S_74324433,0.1.2,rpc,韧性评分模型,MS_27283_POD_795,Dod_5P9rzN,Null,UNKNOWN,4.0
