timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1465273,T_24923976499,S_134445716,0.1.2.23.2.74,mc,应急需求建模,MS_8471_POD_203,798_kAA2v8,实时数据流接入,MS_32402_POD_121,1.0
1484413,T_16191493238,S_112644279,0.1.1,mc,应急需求建模,MS_19960_POD_201,O9cSalqhIp,动态设备拓扑发现,MS_4354_POD_31,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,实时数据流接入,MS_5257_POD_7,mJxUT-THwr,边缘计算节点,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,边缘计算节点,MS_5257_POD_7,mJxUT-THwr,流式特征提取,UNKNOWN,0.0
1554975,T_931406574,S_133213375,0,http,流式特征提取,USER,FTtLeSLBCm,滑动窗口聚合,MS_36535_POD_6,7.0
1585509,T_18942201638,S_1823467,0,http,滑动窗口聚合,USER,MNU9Pso9u6,动态模式识别,MS_26433_POD_11,2.0
1607423,T_1382535292,S_149764396,0.1.1.2.1.7.2,mc,动态模式识别,MS_51052_POD_2373,ScFx7XudDg,异常模式库构建,MS_55085_POD_842,0.0
1607423,T_1382535292,S_149764396,0.1.1.2.1.7.2,mc,异常模式库构建,MS_51052_POD_2373,ScFx7XudDg,Null,MS_55085_POD_842,0.0
1607423,T_1382535292,S_149764396,0.1.1.2.1.7.2,mc,动态设备拓扑发现,MS_51052_POD_2373,ScFx7XudDg,网络探针部署,MS_55085_POD_842,0.0
1607423,T_1382535292,S_149764396,0.1.1.2.1.7.2,mc,网络探针部署,MS_51052_POD_2373,ScFx7XudDg,拓扑增量学习,MS_55085_POD_842,0.0
1607423,T_1382535292,S_149764396,0.1.1.2.1.7.2,mc,拓扑增量学习,MS_51052_POD_2373,ScFx7XudDg,连接强度分析,MS_55085_POD_842,0.0
1607823,T_1487373615,S_127836348,0.3,mc,连接强度分析,MS_53154_POD_332,W3C2wriY3J,虚拟节点生成,MS_37691_POD_2131,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,虚拟节点生成,MS_54249_POD_300,qnYHddrfzU,拓扑演化预测,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,拓扑演化预测,MS_54249_POD_300,qnYHddrfzU,Null,MS_32135_POD_4,0.0
