timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1505438,T_16575754317,S_21874706,0.2.264636,db,工具准备,MS_5257_POD_7,mJxUT-THwr,生成式设计引擎,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,生成式设计引擎,MS_5257_POD_7,mJxUT-THwr,需求语义解析,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,需求语义解析,MS_5257_POD_7,mJxUT-THwr,拓扑优化生成,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,需求语义解析,MS_5257_POD_7,mJxUT-THwr,知识增强生成,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,拓扑优化生成,MS_5257_POD_7,mJxUT-THwr,增材制造模拟,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,增材制造模拟,MS_5257_POD_7,mJxUT-THwr,力学性能验证,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,力学性能验证,MS_5257_POD_7,mJxUT-THwr,现场快速成型,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,现场快速成型,MS_5257_POD_7,mJxUT-THwr,自愈合涂层处理,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,自愈合涂层处理,MS_5257_POD_7,mJxUT-THwr,工具生命周期追踪,UNKNOWN,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,工具生命周期追踪,MS_54249_POD_300,qnYHddrfzU,Null,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,知识增强生成,MS_54249_POD_300,qnYHddrfzU,专利知识图谱查询,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,专利知识图谱查询,MS_54249_POD_300,qnYHddrfzU,跨领域方案迁移,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,跨领域方案迁移,MS_54249_POD_300,qnYHddrfzU,合规性自动审查,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,合规性自动审查,MS_54249_POD_300,qnYHddrfzU,Null,MS_32135_POD_4,0.0
