timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1505438,T_16575754317,S_21874706,0.2.264636,db,故障确认,MS_5257_POD_7,mJxUT-THwr,分布式诊断触发,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,分布式诊断触发,MS_5257_POD_7,mJxUT-THwr,边缘节点数据同步,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,边缘节点数据同步,MS_5257_POD_7,mJxUT-THwr,多源异构数据融合,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,边缘节点数据同步,MS_5257_POD_7,mJxUT-THwr,延迟敏感型数据缓存,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,多源异构数据融合,MS_5257_POD_7,mJxUT-THwr,联邦学习特征提取,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,联邦学习特征提取,MS_5257_POD_7,mJxUT-THwr,跨域异常模式匹配,UNKNOWN,0.0
1505438,T_16575754317,S_21874706,0.2.264636,db,跨域异常模式匹配,MS_5257_POD_7,mJxUT-THwr,动态权重投票决策,UNKNOWN,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,动态权重投票决策,MS_54249_POD_300,qnYHddrfzU,区块链存证,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,区块链存证,MS_54249_POD_300,qnYHddrfzU,诊断结果可信分发,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,诊断结果可信分发,MS_54249_POD_300,qnYHddrfzU,Null,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,延迟敏感型数据缓存,MS_54249_POD_300,qnYHddrfzU,局部异常检测,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,局部异常检测,MS_54249_POD_300,qnYHddrfzU,时空关联分析,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,时空关联分析,MS_54249_POD_300,qnYHddrfzU,预测性故障标记,MS_32135_POD_4,0.0
1618629,T_3953692225,S_17014181,0.1.2,mc,预测性故障标记,MS_54249_POD_300,qnYHddrfzU,Null,MS_32135_POD_4,0.0
