timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1623114,T_8859111220,S_17101095,0.1.3.36,mc,韧性风险对冲,MS_14194_POD_9,qyiQVsZbrE,实时威胁感知,MS_44585_POD_187,0.0
1623114,T_8859111220,S_17101095,0.1.3.36,mc,韧性风险对冲,MS_14194_POD_9,qyiQVsZbrE,韧性指标量化,MS_44585_POD_187,0.0
1623114,T_8859111220,S_17101095,0.1.3.36,mc,实时威胁感知,MS_14194_POD_9,qyiQVsZbrE,攻击面建模,MS_44585_POD_187,0.0
1623114,T_8859111220,S_17101095,0.1.3.36,mc,攻击面建模,MS_14194_POD_9,qyiQVsZbrE,脆弱性传播分析,MS_44585_POD_187,0.0
1730705,T_13950299709,S_76364879,0.1,http,脆弱性传播分析,UNAVAILABLE,_2rHc09hG1,风险熵值计算,MS_35441_POD_0,0.0
1730705,T_13950299709,S_76364879,0.1,http,风险熵值计算,UNAVAILABLE,_2rHc09hG1,防御策略生成,MS_35441_POD_0,0.0
1770138,T_9199943237,S_136240230,0.1.1.25,mc,防御策略生成,MS_39472_POD_13,YvLtIdtC0c,攻击路径阻断,MS_58455_POD_24,1.0
1770138,T_9199943237,S_136240230,0.1.1.25,mc,攻击路径阻断,MS_39472_POD_13,YvLtIdtC0c,Null,MS_58455_POD_24,1.0
1796896,T_21880484022,S_153584695,0.1,mc,韧性指标量化,MS_48494_POD_2,TlmskA5yO7,系统韧性图谱,MS_1303_POD_26,1.0
1796896,T_21880484022,S_153584695,0.1,mc,系统韧性图谱,MS_48494_POD_2,TlmskA5yO7,故障域隔离设计,MS_1303_POD_26,1.0
1796896,T_21880484022,S_153584695,0.1,mc,故障域隔离设计,MS_48494_POD_2,TlmskA5yO7,恢复力基准测试,MS_1303_POD_26,1.0
1796896,T_21880484022,S_153584695,0.1,mc,恢复力基准测试,MS_48494_POD_2,TlmskA5yO7,自愈策略编排,MS_1303_POD_26,1.0
1796896,T_21880484022,S_153584695,0.1,mc,自愈策略编排,MS_48494_POD_2,TlmskA5yO7,韧性成熟度评估,MS_1303_POD_26,1.0
1796896,T_21880484022,S_153584695,0.1,mc,韧性成熟度评估,MS_48494_POD_2,TlmskA5yO7,Null,MS_1303_POD_26,1.0
