timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
149050,T_18264938567,S_147582606,0.5,db,资源调配,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,量子退火优化,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,量子退火优化,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,超图建模,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,超图建模,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,QUBO问题转换,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,超图建模,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,动态约束松弛,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,QUBO问题转换,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,量子比特映射,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,量子比特映射,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,退火过程模拟,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,退火过程模拟,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,经典-量子混合求解,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,经典-量子混合求解,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,多维解空间验证,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,多维解空间验证,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,资源拓扑重构,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,资源拓扑重构,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,Null,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,动态约束松弛,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,虚拟资源池构建,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,虚拟资源池构建,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,时空切片预留,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,时空切片预留,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,抗干扰路由规划,MS_13817_POD_0,1.0
149050,T_18264938567,S_147582606,0.5,db,抗干扰路由规划,MS_57287_POD_182,N7l8_o8mxD:TDDL_QUERY,Null,MS_13817_POD_0,1.0
