timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
189900,T_3242117229,S_17101121,0.1.2.2.1,rpc,备用供应商选择,MS_29370_POD_148,thdl4kTPYF,动态需求感知,UNKNOWN,1.0
246095,T_22821977652,S_93113555,0.5.1.11,db,动态需求感知,MS_65240_POD_222,mJxUT-THwr,实时供应链数据融合,UNKNOWN,0.0
246095,T_22821977652,S_93113555,0.5.1.11,db,实时供应链数据融合,MS_65240_POD_222,mJxUT-THwr,流式计算引擎,UNKNOWN,0.0
246095,T_22821977652,S_93113555,0.5.1.11,db,流式计算引擎,MS_65240_POD_222,mJxUT-THwr,CEP复杂事件处理,UNKNOWN,0.0
246095,T_22821977652,S_93113555,0.5.1.11,db,CEP复杂事件处理,MS_65240_POD_222,mJxUT-THwr,事件模式匹配,UNKNOWN,0.0
274353,T_11596263842,S_92523877,0.1,http,事件模式匹配,UNAVAILABLE,Vy4LvaDmfT,弹性规则引擎,MS_3433_POD_6,0.0
274353,T_11596263842,S_92523877,0.1,http,弹性规则引擎,UNAVAILABLE,Vy4LvaDmfT,Null,MS_3433_POD_6,0.0
274353,T_11596263842,S_92523877,0.1,http,供应商韧性评估,UNAVAILABLE,Vy4LvaDmfT,抗压能力测试,MS_3433_POD_6,0.0
274353,T_11596263842,S_92523877,0.1,http,抗压能力测试,UNAVAILABLE,Vy4LvaDmfT,灾难恢复模拟,MS_3433_POD_6,0.0
274353,T_11596263842,S_92523877,0.1,http,灾难恢复模拟,UNAVAILABLE,Vy4LvaDmfT,混沌工程注入,MS_3433_POD_6,0.0
274353,T_11596263842,S_92523877,0.1,http,混沌工程注入,UNAVAILABLE,Vy4LvaDmfT,故障传播分析,MS_3433_POD_6,0.0
356741,T_23846529700,S_130831269,0.1,rpc,故障传播分析,MS_19017_POD_712,Tfnc-ENibi,韧性评分模型,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,韧性评分模型,MS_19017_POD_712,Tfnc-ENibi,Null,MS_19017_POD_712,0.0
