timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,备件运输,MS_42200_POD_473,vrNuPMeF-P,供应商选择,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,供应商选择,MS_42200_POD_473,vrNuPMeF-P,需求分析,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,运输计划制定,MS_42200_POD_473,vrNuPMeF-P,路线规划,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,运输执行,MS_42200_POD_473,vrNuPMeF-P,在途监控,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,监控与调整,MS_42200_POD_473,vrNuPMeF-P,异常响应,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,数据分析与优化,MS_42200_POD_473,vrNuPMeF-P,运输成本分析,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,需求分析,MS_42200_POD_473,vrNuPMeF-P,历史需求统计,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,需求分析,MS_42200_POD_473,vrNuPMeF-P,紧急需求预测,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,供应商评估,MS_42200_POD_473,vrNuPMeF-P,资质审核,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,供应商评估,MS_42200_POD_473,vrNuPMeF-P,交付能力评估,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,合同签订,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,订单生成,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,历史需求统计,MS_42200_POD_473,vrNuPMeF-P,时序数据分析,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,紧急需求预测,MS_42200_POD_473,vrNuPMeF-P,故障模式匹配,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,资质审核,MS_42200_POD_473,vrNuPMeF-P,ISO认证校验,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,资质审核,MS_42200_POD_473,vrNuPMeF-P,历史履约记录,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,交付能力评估,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,时序数据分析,MS_42200_POD_473,vrNuPMeF-P,ARIMA模型拟合,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,时序数据分析,MS_42200_POD_473,vrNuPMeF-P,异常值检测,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,故障模式匹配,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,ISO认证校验,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,历史履约记录,MS_42200_POD_473,vrNuPMeF-P,延迟交付次数,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,历史履约记录,MS_42200_POD_473,vrNuPMeF-P,质量投诉率,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,ARIMA模型拟合,MS_42200_POD_473,vrNuPMeF-P,参数调优,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,异常值检测,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,延迟交付次数,MS_42200_POD_473,vrNuPMeF-P,原因分类,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,延迟交付次数,MS_42200_POD_473,vrNuPMeF-P,改进措施跟踪,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,质量投诉率,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,参数调优,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,原因分类,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,改进措施跟踪,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,路线规划,MS_42200_POD_473,vrNuPMeF-P,多目标优化,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,资源分配,MS_42200_POD_473,vrNuPMeF-P,车辆调度,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,多目标优化,MS_42200_POD_473,vrNuPMeF-P,动态路径调整,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,车辆调度,MS_42200_POD_473,vrNuPMeF-P,载重匹配,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,动态路径调整,MS_42200_POD_473,vrNuPMeF-P,实时交通事件处理,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,载重匹配,MS_42200_POD_473,vrNuPMeF-P,三维装载模拟,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,实时交通事件处理,MS_42200_POD_473,vrNuPMeF-P,事件优先级排序,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,三维装载模拟,MS_42200_POD_473,vrNuPMeF-P,稳定性计算,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,事件优先级排序,MS_42200_POD_473,vrNuPMeF-P,拥堵等级映射,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,事件优先级排序,MS_42200_POD_473,vrNuPMeF-P,绕行策略生成,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,稳定性计算,MS_42200_POD_473,vrNuPMeF-P,重心偏移阈值,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,拥堵等级映射,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,绕行策略生成,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,重心偏移阈值,MS_42200_POD_473,vrNuPMeF-P,Null,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,在途监控,MS_42200_POD_473,vrNuPMeF-P,GPS轨迹追踪,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,异常响应,MS_42200_POD_473,vrNuPMeF-P,备件损坏处理,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,GPS轨迹追踪,MS_42200_POD_473,vrNuPMeF-P,地理围栏告警,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,备件损坏处理,MS_42200_POD_473,vrNuPMeF-P,现场快速检测,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,地理围栏告警,MS_42200_POD_473,vrNuPMeF-P,偏离路径分析,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,现场快速检测,MS_42200_POD_473,vrNuPMeF-P,替代方案生成,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,偏离路径分析,MS_42200_POD_473,vrNuPMeF-P,司机行为评估,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,替代方案生成,MS_42200_POD_473,vrNuPMeF-P,就近仓库调拨,MS_42200_POD_473,0.0
1819733,T_13457753360,S_119456620,0.1.1.1,rpc,司机行为评估,MS_42200_POD_473,vrNuPMeF-P,疲劳驾驶检测,MS_42200_POD_473,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,就近仓库调拨,MS_15934_POD_133497,446tkb6HWR,库存实时同步,UNKNOWN,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,疲劳驾驶检测,MS_15934_POD_133497,446tkb6HWR,Null,UNKNOWN,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,库存实时同步,MS_15934_POD_133497,446tkb6HWR,Null,UNKNOWN,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,运输成本分析,MS_15934_POD_133497,446tkb6HWR,燃油效率模型,UNKNOWN,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,燃油效率模型,MS_15934_POD_133497,446tkb6HWR,车型参数匹配,UNKNOWN,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,车型参数匹配,MS_15934_POD_133497,446tkb6HWR,坡度-油耗关系,UNKNOWN,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,坡度-油耗关系,MS_15934_POD_133497,446tkb6HWR,动态修正系数,UNKNOWN,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,动态修正系数,MS_15934_POD_133497,446tkb6HWR,机器学习迭代,UNKNOWN,0.0
1899322,T_5551028995,S_7107255,0.1.1.5.1.1,rpc,机器学习迭代,MS_15934_POD_133497,446tkb6HWR,Null,UNKNOWN,0.0
