timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1980208,T_398641217,S_40318420,0.1,rpc,弹性资源规划,UNAVAILABLE,lKoeL9cqDW,虚拟资源池构建,MS_62414_POD_201,5.0
2011305,T_9122224077,S_130831269,0.1,rpc,弹性资源规划,MS_42200_POD_1043,Tfnc-ENibi,预测性补给模型,MS_42200_POD_1043,0.0
2021078,T_13675839399,S_130790099,0.1.1.2,mc,虚拟资源池构建,MS_1632_POD_724,gU-f4ZCVis,云边资源映射,MS_4651_POD_29,1.0
2021078,T_13675839399,S_130790099,0.1.1.2,mc,云边资源映射,MS_1632_POD_724,gU-f4ZCVis,容器弹性伸缩,MS_4651_POD_29,1.0
2024084,T_4499077961,S_22488234,0.1.3.1.50.1.1.5,mc,容器弹性伸缩,MS_40586_POD_630,E1CQLGqUSx,负载迁移策略,MS_27487_POD_19,0.0
2024084,T_4499077961,S_22488234,0.1.3.1.50.1.1.5,mc,负载迁移策略,MS_40586_POD_630,E1CQLGqUSx,资源碎片整理,MS_27487_POD_19,0.0
2024084,T_4499077961,S_22488234,0.1.3.1.50.1.1.5,mc,资源碎片整理,MS_40586_POD_630,E1CQLGqUSx,虚拟化度量矩阵,MS_27487_POD_19,0.0
2024084,T_4499077961,S_22488234,0.1.3.1.50.1.1.5,mc,虚拟化度量矩阵,MS_40586_POD_630,E1CQLGqUSx,Null,MS_27487_POD_19,0.0
2024084,T_4499077961,S_22488234,0.1.3.1.50.1.1.5,mc,预测性补给模型,MS_40586_POD_630,E1CQLGqUSx,需求波动预测,MS_27487_POD_19,0.0
2062520,T_23165398255,S_164980618,0.1.3.2.3,mc,需求波动预测,MS_50554_POD_139,BVD658JwDe,贝叶斯网络建模,MS_14728_POD_268,0.0
2062520,T_23165398255,S_164980618,0.1.3.2.3,mc,贝叶斯网络建模,MS_50554_POD_139,BVD658JwDe,安全库存计算,MS_14728_POD_268,0.0
2069080,T_6712243991,S_2428653,0.1.2,mc,安全库存计算,MS_63670_POD_40,9Yomf44ABy,补给路径仿真,MS_37691_POD_3385,0.0
2070831,T_16587061516,S_7823464,0.1.1,http,补给路径仿真,UNAVAILABLE,FjoDq0nSQY,动态补给路线,MS_1350_POD_61,49.0
2070831,T_16587061516,S_7823464,0.1.1,http,动态补给路线,UNAVAILABLE,FjoDq0nSQY,Null,MS_1350_POD_61,49.0
