timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
3245263,T_6116722661,S_17101095,0.1.3.22.1,mc,容错执行框架,MS_14194_POD_18,WIuLvPpRM9,智能工单路由,MS_44585_POD_55,1.0
3255570,T_18332915579,S_51219457,0.1.1,mc,容错执行框架,MS_63670_POD_534,OaMaDuq7D2,去中心化协同,MS_37691_POD_4189,1.0
3258031,T_11534158480,S_124252514,0.6.81.3,db,智能工单路由,MS_12704_POD_106,20b8vrWYOL:TDDL_QUERY,工单特征编码,MS_1002_POD_2,1.0
3258990,T_4039896188,S_130610636,0.1.1,mc,工单特征编码,MS_39990_POD_93,7aJ_JD61MG,路由策略学习,MS_2827_POD_153,1.0
3261380,T_14335613065,S_102102467,0.1.24,db,路由策略学习,MS_17945_POD_38,3x2GMEjC6Z:TDDL_UPDATE,路径质量评估,MS_19603_POD_3,1.0
3265815,T_17968469125,S_88933463,0.1,http,路径质量评估,UNAVAILABLE,Z-1kb7yzt8,动态路由表,MS_43369_POD_30,36.0
3282978,T_10215256374,S_17625668,0.1.1.1.1.338106179.1.2,db,动态路由表,MS_6669_POD_8,JUpcbGHQG_,路由异常恢复,MS_35563_POD_8,1.0
3294170,T_14555838749,S_107255660,0.1.3.29,mc,路由异常恢复,MS_48385_POD_1268,JkAozvuQor,Null,MS_14304_POD_282,1.0
3300477,T_10142164593,S_60063910,0.1.18.1.334394216.3,mq,去中心化协同,MS_60792_POD_227,z9_LlNvGDi,智能合约设计,MS_68265_POD_1,53.0
3303197,T_22590587773,S_162549804,0,http,智能合约设计,USER,Itx_dzsXfv,共识机制配置,MS_13157_POD_9,4.0
3321183,T_11830773452,S_12961698,0.1.2.1.2.1.1,mc,共识机制配置,MS_42970_POD_16,L_uV0SxMtN,冲突消解协议,MS_29635_POD_141,0.0
3345232,T_22669816576,S_119456620,0.1.1.1,rpc,冲突消解协议,MS_42200_POD_119,vrNuPMeF-P,协同效能审计,MS_42200_POD_119,0.0
3348646,T_11289763451,S_81753042,0.1.2.35.53.1,mc,协同效能审计,MS_30586_POD_7,3LqlLSLlqF,分布式日志存证,MS_32402_POD_43,1.0
3373043,T_22142439882,S_33770762,0.1,rpc,分布式日志存证,UNAVAILABLE,oZ_DUOnECT,Null,MS_23689_POD_53,0.0
