timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
367735,T_20979945635,S_70976839,0.1,http,应急需求建模,UNAVAILABLE,d0RrQ0r8gt,实时数据流接入,MS_61924_POD_192,11.0
392533,T_14085187120,S_151800023,0.1.6.1.3,rpc,应急需求建模,MS_15934_POD_67682,S8kozY5oGJ,动态设备拓扑发现,UNKNOWN,4.0
392533,T_14085187120,S_151800023,0.1.6.1.3,rpc,实时数据流接入,MS_15934_POD_67682,S8kozY5oGJ,边缘计算节点,UNKNOWN,4.0
392533,T_14085187120,S_151800023,0.1.6.1.3,rpc,边缘计算节点,MS_15934_POD_67682,S8kozY5oGJ,流式特征提取,UNKNOWN,4.0
392533,T_14085187120,S_151800023,0.1.6.1.3,rpc,流式特征提取,MS_15934_POD_67682,S8kozY5oGJ,滑动窗口聚合,UNKNOWN,4.0
393712,T_9108231890,S_5391297,0.1.77,rpc,滑动窗口聚合,UNKNOWN_POD_34716644,cbywOXlJLv,动态模式识别,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,动态模式识别,UNKNOWN_POD_34716644,cbywOXlJLv,异常模式库构建,MS_15934_POD_15865,21.0
450067,T_2546212952,S_86516878,0.2,mc,异常模式库构建,MS_53154_POD_179,dCsDolhN5y,Null,MS_37691_POD_129,0.0
455745,T_13242531253,S_94326254,0.1.2.3.2.162,mc,动态设备拓扑发现,MS_19648_POD_4,BEdEvz2ILo,网络探针部署,MS_1303_POD_1,1.0
460422,T_2660307617,S_152913194,0.1,http,网络探针部署,UNAVAILABLE,yFmzWaILCl,拓扑增量学习,MS_54249_POD_256,3.0
460422,T_2660307617,S_152913194,0.1,http,拓扑增量学习,UNAVAILABLE,yFmzWaILCl,连接强度分析,MS_54249_POD_256,3.0
528632,T_13283462116,S_130610376,0.1.2.3,mc,连接强度分析,MS_26670_POD_153,K0FiiKxDug,虚拟节点生成,UNKNOWN,1.0
534161,T_15068068571,S_106896989,0.15,mc,虚拟节点生成,MS_50519_POD_14,nxXNKnBhS8,拓扑演化预测,MS_46708_POD_216,1.0
538420,T_3582196032,S_28351952,0.1.1.45,rpc,拓扑演化预测,MS_6986_POD_24,7zYAKMiFPU,Null,MS_44636_POD_0,4.0
