timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
392533,T_14085187120,S_151800023,0.1.6.1.3,rpc,自适应监控体系,MS_15934_POD_67682,S8kozY5oGJ,联邦学习监控,UNKNOWN,4.0
392533,T_14085187120,S_151800023,0.1.6.1.3,rpc,自适应监控体系,MS_15934_POD_67682,S8kozY5oGJ,数字孪生优化,UNKNOWN,4.0
393712,T_9108231890,S_5391297,0.1.77,rpc,联邦学习监控,UNKNOWN_POD_34716644,cbywOXlJLv,模型参数加密,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,模型参数加密,UNKNOWN_POD_34716644,cbywOXlJLv,梯度安全聚合,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,梯度安全聚合,UNKNOWN_POD_34716644,cbywOXlJLv,漂移检测,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,漂移检测,UNKNOWN_POD_34716644,cbywOXlJLv,联邦模型更新,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,联邦模型更新,UNKNOWN_POD_34716644,cbywOXlJLv,隐私保护验证,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,隐私保护验证,UNKNOWN_POD_34716644,cbywOXlJLv,Null,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,数字孪生优化,UNKNOWN_POD_34716644,cbywOXlJLv,孪生体同步,MS_15934_POD_15865,21.0
528632,T_13283462116,S_130610376,0.1.2.3,mc,孪生体同步,MS_26670_POD_153,K0FiiKxDug,仿真沙箱构建,UNKNOWN,1.0
528632,T_13283462116,S_130610376,0.1.2.3,mc,仿真沙箱构建,MS_26670_POD_153,K0FiiKxDug,参数敏感性分析,UNKNOWN,1.0
528632,T_13283462116,S_130610376,0.1.2.3,mc,参数敏感性分析,MS_26670_POD_153,K0FiiKxDug,虚拟试运行,UNKNOWN,1.0
538420,T_3582196032,S_28351952,0.1.1.45,rpc,虚拟试运行,MS_6986_POD_24,7zYAKMiFPU,策略迁移验证,MS_44636_POD_0,4.0
538420,T_3582196032,S_28351952,0.1.1.45,rpc,策略迁移验证,MS_6986_POD_24,7zYAKMiFPU,Null,MS_44636_POD_0,4.0
