timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
393712,T_9108231890,S_5391297,0.1.77,rpc,现场维修,UNKNOWN_POD_34716644,cbywOXlJLv,故障确认,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,现场维修,UNKNOWN_POD_34716644,cbywOXlJLv,资源调配,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,现场维修,UNKNOWN_POD_34716644,cbywOXlJLv,安全评估,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,现场维修,UNKNOWN_POD_34716644,cbywOXlJLv,工具准备,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,现场维修,UNKNOWN_POD_34716644,cbywOXlJLv,维修执行,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,现场维修,UNKNOWN_POD_34716644,cbywOXlJLv,维修验证,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,故障确认,UNKNOWN_POD_34716644,cbywOXlJLv,接收故障报警,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,故障确认,UNKNOWN_POD_34716644,cbywOXlJLv,初步现象记录,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,故障确认,UNKNOWN_POD_34716644,cbywOXlJLv,历史数据分析,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,接收故障报警,UNKNOWN_POD_34716644,cbywOXlJLv,报警信号解析,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,报警信号解析,UNKNOWN_POD_34716644,cbywOXlJLv,信号特征提取,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,信号特征提取,UNKNOWN_POD_34716644,cbywOXlJLv,时域分析,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,信号特征提取,UNKNOWN_POD_34716644,cbywOXlJLv,频域分析,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,时域分析,UNKNOWN_POD_34716644,cbywOXlJLv,峰值检测,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,时域分析,UNKNOWN_POD_34716644,cbywOXlJLv,波形对比,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,频域分析,UNKNOWN_POD_34716644,cbywOXlJLv,Null,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,初步现象记录,UNKNOWN_POD_34716644,cbywOXlJLv,报警类型分类,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,报警类型分类,UNKNOWN_POD_34716644,cbywOXlJLv,异常模式匹配,MS_15934_POD_15865,21.0
393712,T_9108231890,S_5391297,0.1.77,rpc,异常模式匹配,UNKNOWN_POD_34716644,cbywOXlJLv,Null,MS_15934_POD_15865,21.0
