timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1364938,T_6962480322,S_27857784,0.1.3,db,韧性风险对冲,MS_46799_POD_4,mJxUT-THwr,实时威胁感知,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,韧性风险对冲,MS_46799_POD_4,mJxUT-THwr,韧性指标量化,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,实时威胁感知,MS_46799_POD_4,mJxUT-THwr,攻击面建模,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,攻击面建模,MS_46799_POD_4,mJxUT-THwr,脆弱性传播分析,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,脆弱性传播分析,MS_46799_POD_4,mJxUT-THwr,风险熵值计算,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,风险熵值计算,MS_46799_POD_4,mJxUT-THwr,防御策略生成,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,防御策略生成,MS_46799_POD_4,mJxUT-THwr,攻击路径阻断,UNKNOWN,0.0
1377311,T_8562669388,S_21852643,0,http,攻击路径阻断,USER,zxg4-jZhMd,Null,MS_39492_POD_159,7.0
1377311,T_8562669388,S_21852643,0,http,韧性指标量化,USER,zxg4-jZhMd,系统韧性图谱,MS_39492_POD_159,7.0
1377311,T_8562669388,S_21852643,0,http,系统韧性图谱,USER,zxg4-jZhMd,故障域隔离设计,MS_39492_POD_159,7.0
1377311,T_8562669388,S_21852643,0,http,故障域隔离设计,USER,zxg4-jZhMd,恢复力基准测试,MS_39492_POD_159,7.0
1383040,T_727947429,S_147775982,0.1.1,http,恢复力基准测试,UNAVAILABLE,klGA443n-u,自愈策略编排,MS_46757_POD_29,1.0
1383040,T_727947429,S_147775982,0.1.1,http,自愈策略编排,UNAVAILABLE,klGA443n-u,韧性成熟度评估,MS_46757_POD_29,1.0
1383040,T_727947429,S_147775982,0.1.1,http,韧性成熟度评估,UNAVAILABLE,klGA443n-u,Null,MS_46757_POD_29,1.0
