timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1364938,T_6962480322,S_27857784,0.1.3,db,制定运维计划,MS_46799_POD_4,mJxUT-THwr,需求分析,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,制定运维计划,MS_46799_POD_4,mJxUT-THwr,资源评估,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,制定运维计划,MS_46799_POD_4,mJxUT-THwr,风险评估,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,制定运维计划,MS_46799_POD_4,mJxUT-THwr,计划制定,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,制定运维计划,MS_46799_POD_4,mJxUT-THwr,执行安排,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,制定运维计划,MS_46799_POD_4,mJxUT-THwr,监控与调整,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,需求分析,MS_46799_POD_4,mJxUT-THwr,收集历史数据,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,需求分析,MS_46799_POD_4,mJxUT-THwr,识别关键设备,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,资源评估,MS_46799_POD_4,mJxUT-THwr,硬件资源核查,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,资源评估,MS_46799_POD_4,mJxUT-THwr,人力资源分配,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,风险评估,MS_46799_POD_4,mJxUT-THwr,故障模式分析,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,风险评估,MS_46799_POD_4,mJxUT-THwr,环境因素评估,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,计划制定,MS_46799_POD_4,mJxUT-THwr,时间窗口规划,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,计划制定,MS_46799_POD_4,mJxUT-THwr,预算分配,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,执行安排,MS_46799_POD_4,mJxUT-THwr,任务分派,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,执行安排,MS_46799_POD_4,mJxUT-THwr,协同流程设计,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,监控与调整,MS_46799_POD_4,mJxUT-THwr,实时数据采集,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,监控与调整,MS_46799_POD_4,mJxUT-THwr,动态优化引擎,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,收集历史数据,MS_46799_POD_4,mJxUT-THwr,设备故障记录,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,识别关键设备,MS_46799_POD_4,mJxUT-THwr,设备拓扑建模,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,硬件资源核查,MS_46799_POD_4,mJxUT-THwr,备件库存统计,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,人力资源分配,MS_46799_POD_4,mJxUT-THwr,技能矩阵匹配,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,故障模式分析,MS_46799_POD_4,mJxUT-THwr,历史故障分类,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,环境因素评估,MS_46799_POD_4,mJxUT-THwr,温湿度监测,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,时间窗口规划,MS_46799_POD_4,mJxUT-THwr,设备停机时间预测,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,预算分配,MS_46799_POD_4,mJxUT-THwr,成本效益分析,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,任务分派,MS_46799_POD_4,mJxUT-THwr,工单生成,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,协同流程设计,MS_46799_POD_4,mJxUT-THwr,跨部门接口定义,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,实时数据采集,MS_46799_POD_4,mJxUT-THwr,传感器网络监控,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,动态优化引擎,MS_46799_POD_4,mJxUT-THwr,强化学习模型,UNKNOWN,0.0
1364938,T_6962480322,S_27857784,0.1.3,db,设备故障记录,MS_46799_POD_4,mJxUT-THwr,时间序列分析,UNKNOWN,0.0
