应急需求建模,应急需求建模->实时数据流接入,应急需求建模.depth==0
应急需求建模,应急需求建模->动态设备拓扑发现,应急需求建模.depth==0
实时数据流接入,实时数据流接入->边缘计算节点,实时数据流接入.depth==1
边缘计算节点,边缘计算节点->流式特征提取,边缘计算节点.depth==2
流式特征提取,流式特征提取->滑动窗口聚合,流式特征提取.depth==3
滑动窗口聚合,滑动窗口聚合->动态模式识别,滑动窗口聚合.depth==4
动态模式识别,动态模式识别->异常模式库构建,动态模式识别.depth==5
异常模式库构建,异常模式库构建->Null,异常模式库构建.depth==6
动态设备拓扑发现,动态设备拓扑发现->网络探针部署,动态设备拓扑发现.depth==1
网络探针部署,网络探针部署->拓扑增量学习,网络探针部署.depth==2
拓扑增量学习,拓扑增量学习->连接强度分析,拓扑增量学习.depth==3
连接强度分析,连接强度分析->虚拟节点生成,连接强度分析.depth==4
虚拟节点生成,虚拟节点生成->拓扑演化预测,虚拟节点生成.depth==5
拓扑演化预测,拓扑演化预测->Null,拓扑演化预测.depth==6
