弹性资源规划,弹性资源规划->虚拟资源池构建,弹性资源规划.depth==0
弹性资源规划,弹性资源规划->预测性补给模型,弹性资源规划.depth==0
虚拟资源池构建,虚拟资源池构建->云边资源映射,虚拟资源池构建.depth==1
云边资源映射,云边资源映射->容器弹性伸缩,云边资源映射.depth==2
容器弹性伸缩,容器弹性伸缩->负载迁移策略,容器弹性伸缩.depth==3
负载迁移策略,负载迁移策略->资源碎片整理,负载迁移策略.depth==4
资源碎片整理,资源碎片整理->虚拟化度量矩阵,资源碎片整理.depth==5
虚拟化度量矩阵,虚拟化度量矩阵->Null,虚拟化度量矩阵.depth==6
预测性补给模型,预测性补给模型->需求波动预测,预测性补给模型.depth==1
需求波动预测,需求波动预测->贝叶斯网络建模,需求波动预测.depth==2
贝叶斯网络建模,贝叶斯网络建模->安全库存计算,贝叶斯网络建模.depth==3
安全库存计算,安全库存计算->补给路径仿真,安全库存计算.depth==4
补给路径仿真,补给路径仿真->动态补给路线,补给路径仿真.depth==5
动态补给路线,动态补给路线->Null,动态补给路线.depth==6
