安全评估,安全评估->数字孪生镜像构建,安全评估.depth==0
数字孪生镜像构建,数字孪生镜像构建->多物理场仿真,数字孪生镜像构建.depth==1
多物理场仿真,多物理场仿真->故障传播路径预测,多物理场仿真.depth==2
多物理场仿真,多物理场仿真->增强现实辅助,多物理场仿真.depth==2
故障传播路径预测,故障传播路径预测->脆弱性热力图生成,故障传播路径预测.depth==3
脆弱性热力图生成,脆弱性热力图生成->虚拟应力测试,脆弱性热力图生成.depth==4
虚拟应力测试,虚拟应力测试->多米诺效应阻断,虚拟应力测试.depth==5
多米诺效应阻断,多米诺效应阻断->现实-虚拟双向校准,多米诺效应阻断.depth==6
现实-虚拟双向校准,现实-虚拟双向校准->自适应防护策略,现实-虚拟双向校准.depth==7
增强现实辅助,增强现实辅助->操作轨迹建模,增强现实辅助.depth==3
操作轨迹建模,操作轨迹建模->碰撞概率计算,操作轨迹建模.depth==4
碰撞概率计算,碰撞概率计算->安全边界动态调整,碰撞概率计算.depth==5
自适应防护策略,自适应防护策略->Null,自适应防护策略.depth==8
安全边界动态调整,安全边界动态调整->Null,安全边界动态调整.depth==6
