故障确认,故障确认->分布式诊断触发,故障确认.depth==0
分布式诊断触发,分布式诊断触发->边缘节点数据同步,分布式诊断触发.depth==1
边缘节点数据同步,边缘节点数据同步->多源异构数据融合,边缘节点数据同步.depth==2
边缘节点数据同步,边缘节点数据同步->延迟敏感型数据缓存,边缘节点数据同步.depth==2
多源异构数据融合,多源异构数据融合->联邦学习特征提取,多源异构数据融合.depth==3
联邦学习特征提取,联邦学习特征提取->跨域异常模式匹配,联邦学习特征提取.depth==4
跨域异常模式匹配,跨域异常模式匹配->动态权重投票决策,跨域异常模式匹配.depth==5
动态权重投票决策,动态权重投票决策->区块链存证,动态权重投票决策.depth==6
区块链存证,区块链存证->诊断结果可信分发,区块链存证.depth==7
诊断结果可信分发,诊断结果可信分发->Null,诊断结果可信分发.depth==8
延迟敏感型数据缓存,延迟敏感型数据缓存->局部异常检测,延迟敏感型数据缓存.depth==3
局部异常检测,局部异常检测->时空关联分析,局部异常检测.depth==4
时空关联分析,时空关联分析->预测性故障标记,时空关联分析.depth==5
预测性故障标记,预测性故障标记->Null,预测性故障标记.depth==6
